time xmove ymove altitude xerror xintegral yerror yintegral
20,65 306 -504 -858 238 68 -392 -112
20,77 459 -1188 -792 357 102 -924 -264
20,85 504 -1377 -946 392 112 -1071 -306
20,89 504 -1629 -748 392 112 -1267 -362
20,93 612 -1692 -902 476 136 -1316 -376
21,01 711 -1881 -814 553 158 -1463 -418
21,05 810 -2007 -748 630 180 -1561 -446
21,09 810 -2250 -748 630 180 -1750 -500
21,13 918 -2376 -638 714 204 -1848 -528
21,17 1017 -2502 -594 791 226 -1946 -556
21,21 1125 -2565 -572 875 250 -1995 -570
21,33 1224 -2691 -462 952 272 -2093 -598
21,37 1323 -2880 -330 1029 294 -2240 -640
21,41 1431 -2880 -396 1113 318 -2240 -640
21,49 1530 -3006 -484 1190 340 -2338 -668
21,54 1530 -3006 -352 1190 340 -2338 -668
21,58 1629 -3069 -198 1267 362 -2387 -682
21,66 1737 -3132 -264 1351 386 -2436 -696
21,70 1737 -3132 -154 1351 386 -2436 -696
21,74 1737 -3006 -154 1351 386 -2338 -668
21,82 1737 -2943 -176 1351 386 -2289 -654
21,82 1836 -3006 -154 1428 408 -2338 -668
21,86 1836 -3006 -154 1428 408 -2338 -668
21,94 1836 -3006 -88 1428 408 -2338 -668
21,98 1935 -2754 -44 1505 430 -2142 -612
22,02 1935 -2628 0 1505 430 -2044 -584
22,10 1935 -2628 -44 1505 430 -2044 -584
22,14 1836 -2070 22 1428 408 -1610 -460
22,30 1836 -1503 132 1428 408 -1169 -334
22,34 1836 -1251 44 1428 408 -973 -278
22,42 1890 -1071 154 1470 420 -833 -238
22,46 1935 -945 110 1505 430 -735 -210
22,51 2043 -819 154 1589 454 -637 -182
22,59 2142 -504 220 1666 476 -392 -112
22,63 2196 -252 220 1708 488 -196 -56
22,67 2250 0 88 1750 500 0 0
22,71 2250 180 132 1750 500 140 40
22,79 2250 180 154 1750 500 140 40
22,79 2349 621 154 1827 522 483 138
22,87 2349 873 220 1827 522 679 194
23,03 2250 1242 242 1750 500 966 276
23,07 2250 1368 176 1750 500 1064 304
23,11 2250 1557 176 1750 500 1211 346
23,15 2250 1620 220 1750 500 1260 360
23,23 2142 1683 286 1666 476 1309 374
23,27 2142 1683 198 1666 476 1309 374
23,31 1935 1809 176 1505 430 1407 402
23,35 1935 1872 154 1505 430 1456 416
23,39 1935 1872 330 1505 430 1456 416
23,52 1584 1746 242 1232 352 1358 388
23,52 1431 1683 154 1113 318 1309 374
23,60 1323 1620 132 1029 294 1260 360
23,72 1017 1368 220 791 226 1064 304
23,80 810 1242 308 630 180 966 276
23,84 711 1125 220 553 158 875 250
23,88 504 873 506 392 112 679 194
23,96 306 621 418 238 68 483 138
24,00 198 369 44 154 44 287 82
24,04 99 54 66 77 22 42 12
24,12 0 -252 66 0 0 -196 -56
24,16 -108 -630 -88 -84 -24 -490 -140
24,20 -207 -1008 -154 -161 -46 -784 -224
24,24 -315 -1377 -176 -245 -70 -1071 -306
24,36 -315 -1377 -242 -245 -70 -1071 -306
24,44 -720 -2502 -110 -560 -160 -1946 -556
24,48 -873 -2880 -154 -679 -194 -2240 -640
24,57 -1026 -3132 -176 -798 -228 -2436 -696
24,61 -1125 -3438 -110 -875 -250 -2674 -764
24,65 -1386 -3879 -176 -1078 -308 -3017 -862
24,69 -1593 -4131 -110 -1239 -354 -3213 -918
24,73 -1593 -4131 -132 -1239 -354 -3213 -918
24,77 -1593 -4131 -110 -1239 -354 -3213 -918
24,85 -1593 -4131 -110 -1239 -354 -3213 -918
24,93 -1593 -4131 66 -1239 -354 -3213 -918
24,97 -1593 -4131 -22 -1239 -354 -3213 -918
25,01 -1593 -4131 110 -1239 -354 -3213 -918
25,05 -1593 -4131 -66 -1239 -354 -3213 -918
25,13 -2358 -4005 88 -1834 -524 -3115 -890
25,17 -2358 -3627 264 -1834 -524 -2821 -806
25,29 -2457 -3258 -22 -1911 -546 -2534 -724
25,33 -2565 -3501 -132 -1995 -570 -2723 -778
25,37 -2763 -3879 -110 -2149 -614 -3017 -862
25,45 -2763 -3879 -7920 -2149 -614 -3017 -862
25,54 -3069 -4131 -7788 -2387 -682 -3213 -918
25,58 -3069 -4131 -7898 -2387 -682 -3213 -918
25,62 -3177 -4131 -7700 -2471 -706 -3213 -918
25,66 -3123 -3942 -88 -2429 -694 -3066 -876
25,74 -3177 -3816 -242 -2471 -706 -2968 -848
25,74 -3069 -3564 -7414 -2387 -682 -2772 -792
25,82 -3069 -3501 -7502 -2387 -682 -2723 -778
25,82 -3177 -3501 -7172 -2471 -706 -2723 -778
25,98 -3177 -3501 374 -2471 -706 -2723 -778
26,06 -3177 -3501 396 -2471 -706 -2723 -778
26,10 -3177 -3258 -4928 -2471 -706 -2534 -724
26,14 -3177 -3132 1144 -2471 -706 -2436 -696
26,18 -2970 -2817 858 -2310 -660 -2191 -626
26,26 -2763 -2439 968 -2149 -614 -1897 -542
26,30 -2718 -2133 1012 -2114 -604 -1659 -474
26,34 -2718 -2133 1276 -2114 -604 -1659 -474
26,38 -2970 -1818 1342 -2310 -660 -1414 -404
26,46 -2970 -1629 1606 -2310 -660 -1267 -362
26,51 -2871 -1377 1430 -2233 -638 -1071 -306
26,63 -2565 -693 1738 -1995 -570 -539 -154
26,71 -2565 -693 1672 -1995 -570 -539 -154
26,75 -2565 -693 1760 -1995 -570 -539 -154
26,79 -2565 -693 1738 -1995 -570 -539 -154
26,83 -2565 -693 1760 -1995 -570 -539 -154
26,83 -2565 -693 1738 -1995 -570 -539 -154
26,91 -2565 -693 1738 -1995 -570 -539 -154
26,95 -2565 -693 1804 -1995 -570 -539 -154
27,03 -2565 -693 1760 -1995 -570 -539 -154
27,11 -2565 -693 1782 -1995 -570 -539 -154
27,15 -2565 -693 1540 -1995 -570 -539 -154
27,23 -2565 -693 1474 -1995 -570 -539 -154
27,39 -2565 -693 1078 -1995 -570 -539 -154
